date,AQI,co,no,no2,o3,so2,pm2_5,pm10,nh3
1/1/2022 0:00,298.9,2109.53,2.12,50.04,5.54,18.84,249.29,279.58,5.19
1/1/2022 1:00,322.9,2429.96,9.95,54.84,1.37,23.13,272.61,307.99,7.47
1/1/2022 2:00,374.8,3311.16,36.21,58.95,0.01,31.47,324.96,375.67,11.53
1/1/2022 3:00,407.0,4058.84,67.06,59.63,0.7,36.72,359.59,420.97,13.05
1/1/2022 4:00,410.4,4219.06,75.1,61.69,5.59,41.48,364.71,426.96,13.55
1/1/2022 5:00,413.6,4219.06,64.37,70.6,16.45,48.16,369.55,433.61,17.73
1/1/2022 6:00,414.1,3898.62,39.79,82.25,42.56,56.27,370.4,431.61,20.77
1/1/2022 7:00,324.6,1815.8,5.2,40.44,167.37,64.85,274.33,297.64,5.26
1/1/2022 8:00,291.3,1535.42,3.07,29.82,191.69,56.27,241.67,260.01,4.56
1/1/2022 9:00,273.3,1482.01,2.54,30.5,197.41,56.27,223.48,240.38,5.89
1/1/2022 10:00,329.4,2616.88,8.83,80.2,115.87,58.17,279.17,314.9,19.51
1/1/2022 11:00,415.2,4379.27,31.29,134.35,26.82,60.56,371.97,434.7,33.44
1/1/2022 12:00,455.8,5821.23,85.83,146.69,1.5,72.48,433.4,513.81,47.12
1/1/2022 13:00,496.9,6942.75,132.32,149.43,0,90.6,495.78,592.02,63.84
1/1/2022 14:00,499.7,7583.62,144.84,135.72,0,83.92,554.61,665.74,62.32
1/1/2022 15:00,499.7,7263.18,130.53,109.67,0,61.99,568.17,683.01,44.08
1/1/2022 16:00,499.7,6568.91,110.86,91.85,0,44.82,549.36,656.72,25.84
1/1/2022 17:00,499.7,6088.26,94.77,86.37,0,37.67,523.89,623.79,18.49
1/1/2022 18:00,470.9,5126.95,68.84,83.63,0,28.61,456.28,536.62,11.4
1/1/2022 19:00,401.3,3631.59,31.74,78.14,0.03,20.5,350.99,402.47,6.46
1/1/2022 20:00,369.3,3017.43,13.19,69.92,0.45,18.6,319.42,361.13,5.76
1/1/2022 21:00,375.8,2830.51,4.75,63.06,2.28,18.36,326.03,365.41,5.76
1/1/2022 22:00,394.1,2750.4,1.84,56.21,5.32,18.12,344.43,384.28,5.83
1/1/2022 23:00,409.5,2696.99,1.24,51.41,7.06,18.36,363.32,403.15,5.76
1/2/2022 0:00,422.4,2723.69,2.26,51.41,5.28,19.55,382.93,422.76,6.21
1/2/2022 1:00,446.0,3070.83,10.06,56.21,1.45,24.8,418.7,464.14,8.87
1/2/2022 2:00,484.4,3898.62,33.97,63.06,0.02,33.38,476.76,536.65,12.67
1/2/2022 3:00,499.7,4486.08,56.33,68.55,0.91,38.15,500.67,568.02,13.3
1/2/2022 4:00,490.7,4432.68,56.77,74.03,7.78,41.96,486.37,550.94,13.17
1/2/2022 5:00,491.1,4432.68,49.17,81.57,22.89,48.64,486.9,552.38,16.97
1/2/2022 6:00,488.3,4165.65,30.85,91.85,56.51,57.7,482.73,545.41,20.77
1/2/2022 7:00,312.3,1789.09,5.64,44.55,163.08,64.85,261.92,284.68,6.97
1/2/2022 8:00,267.5,1441.96,3.55,32.9,185.97,55.31,217.63,235.72,5.57
1/2/2022 9:00,257.4,1388.55,2.85,32.22,197.41,55.31,207.45,224.59,6.4
1/2/2022 10:00,309.9,2483.37,9.05,78.83,120.16,55.79,259.53,294.61,19
1/2/2022 11:00,393.7,4112.24,29.95,130.24,31.11,57.22,344.04,404.72,32.42
1/2/2022 12:00,435.6,5554.2,82.25,141.2,1.79,67.71,402.84,481.23,46.1
1/2/2022 13:00,477.7,6675.72,126.96,135.72,0,82.97,466.69,561.86,60.8
1/2/2022 14:00,499.7,7049.56,128.75,120.64,0,69.62,523.09,630.38,53.7
1/2/2022 15:00,499.7,6355.29,90.3,109.67,0,50.07,517.82,617.67,33.94
1/2/2022 16:00,423.2,3898.62,6.26,109.67,2.91,35.29,384.12,445.8,17.73
1/2/2022 17:00,432.9,3898.62,8.94,95.96,1.2,32.9,398.81,466.08,14.95
1/2/2022 18:00,434.0,3845.21,15.2,83.63,0.21,27.89,400.42,467.7,11.27
1/2/2022 19:00,414.3,3417.97,15.87,71.29,0.14,22.41,370.63,429.05,8.36
1/2/2022 20:00,405.4,3124.24,16.09,61.69,0.1,23.84,357.2,410.02,8.87
1/2/2022 21:00,402.6,2937.32,15.65,54.15,0.08,24.8,352.92,402.44,8.74
1/2/2022 22:00,399.4,2803.8,14.98,48.67,0.09,24.8,349.8,396.51,8.49
1/2/2022 23:00,393.9,2643.59,13.52,45.93,0.14,24.08,344.28,386.77,7.73
1/3/2022 0:00,391.7,2590.18,13.63,45.93,0.15,24.8,342.03,381.23,7.73
1/3/2022 1:00,410.4,2910.61,22.35,47.98,0.04,30.04,364.68,408.51,10.39
1/3/2022 2:00,452.9,3898.62,51.86,52.09,0,40.53,429.09,490.61,15.2
1/3/2022 3:00,483.6,4806.52,81.36,58.95,0.82,47.68,475.59,550.13,17.23
1/3/2022 4:00,477.1,4699.71,75.1,67.86,7.24,53.41,465.77,536.58,18.75
1/3/2022 5:00,485.5,4806.52,63.48,82.25,20.92,62.94,478.41,552.94,25.08
1/3/2022 6:00,485.8,4486.08,38.44,98.71,53.64,74.39,478.83,550.57,29.39
1/3/2022 7:00,298.2,2109.53,10.62,60.32,124.45,83.92,248.59,278.41,17.48
1/3/2022 8:00,228.9,1548.77,7.04,45.93,137.33,69.62,178.61,200.52,14.44
1/3/2022 9:00,213.2,1335.14,5.53,42.16,140.19,64.85,162.78,182.13,13.81
1/3/2022 10:00,245.5,1976.01,9.83,69.23,101.57,62.94,195.43,226.67,21.03
1/3/2022 11:00,304.4,3177.64,23.47,113.79,38.27,61.04,253.96,304.75,30.4
1/3/2022 12:00,342.0,4165.65,56.77,131.61,3.4,56.74,291.92,355.29,36.98
1/3/2022 13:00,388.4,4966.74,92.98,122.01,0,57.7,338.65,414.12,44.58
1/3/2022 14:00,433.9,5500.79,101.92,104.19,0,59.13,400.32,490.69,44.08
1/3/2022 15:00,464.9,5607.6,91.2,90.48,0,55.31,447.23,546.91,34.45
1/3/2022 16:00,481.5,5554.2,78.68,83.63,0,50.07,472.38,573,25.84
1/3/2022 17:00,495.8,5500.79,71.53,80.2,0,46.73,494.05,595.6,21.53
1/3/2022 18:00,487.6,5180.36,62.58,76.77,0,38.62,481.62,572,15.07
1/3/2022 19:00,472.8,4753.11,58.11,70.6,0,28.13,459.15,536.49,9.5
